127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005003
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003958
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000900
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.004115
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.003102
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000824
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/ractive.min.js, HTTP/1.1, 304, 0.000727
127.0.0.1, 2015-11-22 17:33:39, GET, /start/static/js/share.js, HTTP/1.1, 304, 0.001694
127.0.0.1, 2015-11-22 17:33:40, GET, /start/static/images/facebook.png, HTTP/1.1, 304, 0.001045
127.0.0.1, 2015-11-22 17:33:40, GET, /start/static/images/twitter.png, HTTP/1.1, 304, 0.001789
127.0.0.1, 2015-11-22 17:33:40, GET, /start/static/images/gplus-32.png, HTTP/1.1, 304, 0.000986
127.0.0.1, 2015-11-22 17:34:18, GET, /start/default/homepage.html, HTTP/1.1, 200, 0.033798
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 304, 0.003454
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005935
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002131
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.007166
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005003
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003002
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001004
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.006909
127.0.0.1, 2015-11-22 17:34:18, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.008154
